Sr.No.,Accord Code,Company Name,CD_BSE Code,CD_NSE Symbol,CD_Bloomberg Code,CD_Reuters Code,CD_Listing Status,CD_ISIN No,CD_CIN Number,CD_Industry
4566,130435,Noesis Industries Ltd.,530435,NOESISIND,NOEI IN,NOES.BO,Listed,INE141B01020,L32109DL1986PLC026273,Consumer Durables - Electronics
4567,123670,Noida Medicare Centre Ltd.,523670,,NMC IN,NDAM.BO,Listed,INE740C01019,L24239DL1988PLC031972,Hospital & Healthcare Services
4568,132481,Noida Toll Bridge Company Ltd.,532481,NOIDATOLL,NTB IN,NOID.BO,Listed,INE781B01015,L45101UP1996PLC019759,Engineering - Construction
4569,245923,Non Such Tea Estate Ltd.,,,,,Listed,,L01132TZ1924PLC003966,Tea/Coffee
4570,119528,Norben Tea & Exports Ltd.,519528,NORBTEAEXP,NTX IN,NTE.BO,Listed,INE369C01017,L01132WB1990PLC048991,Tea/Coffee
4571,268947,Norplex Oak India Ltd.,,,,,Listed,,L25209WB1983PLC036991,Engineering
4572,124414,Norris Medicines Ltd.,524414,,NRS IN,NORI.BO,Listed,INE744C01029,L24230MH1990PLC058071,Pharmaceuticals & Drugs
4573,208858,North Eastern Carrying Corporation Ltd.,534615,NECCLTD,NECCLT IN,NECC.BO,Listed,INE553C01016,L51909DL1984PLC019485,Logistics
4574,244835,North Eastern Exporters Ltd.,,,,,Listed,,L51909WB1983PLC035967,Finance - Investment
4575,244545,North Eastern Publishing And Advertising Co Ltd.,,,,,Listed,,L22122AS1981PLC001884,Finance - NBFC
4576,108924,Northern Projects Ltd.,508924,,NPRJL IN,,Listed,INE01CZ01010,L45400WB1983PLC035987,Tea/Coffee
4577,293443,Northern Spirits Ltd.,542628,,,,Listed,INE01BL01012,U15500WB2012PLC185821,Trading
4578,242321,Northland Holding Co Pvt Ltd.,,,,,Listed,,U45202KA2009PTC049345,Amusement Parks/Recreation/Club
4579,274802,Northlink Fiscal and Capital Services Ltd.,539110,,NFCAS IN,NOTH.BO,Listed,INE736P01019,L65921PB1994PLC015365,Finance - NBFC
4580,132403,Northward Technologies Ltd.,532403,,FGIS IN,FGIS.BO,Listed,INE739B01039,L72200AP1998PLC029999,IT - Software 
4581,286815,Nouritrans Exim Ltd.,540698,,NTEXIM IN,NOUR.BO,Listed,INE555X01017,U51100GJ1995PLC027381,Trading
4582,131465,Nouveau Global Ventures Ltd.,531465,,NUVF IN,NOUV.BO,Listed,INE317B01034,L67190MH1988PLC049645,"Film Production, Distribution & Entertainment"
4583,292830,Nova Agritech Ltd.,,,,,Listed,,U01119TG2007PLC053901,Pesticides & Agrochemicals
4584,113566,Nova Iron & Steel Ltd.,513566,NOVAIRNSTL,NIS IN,NIST.BO,Listed,INE608C01026,L02710CT1989PLC010052,Steel & Iron Products
4585,130733,Nova Publications India Ltd.,530733,,NPIL IN,NOVA.BO,Listed,INE900O01014,L67120PB1994PLC015406,Printing And Publishing
4586,255100,Nova Roofings & Pipes Ltd.,,,,,Listed,,L26999TN1981PLC009128,Steel & Iron Products
4587,131791,Novagold Petro-Resources Ltd.,531791,,NGPR IN,NGPR.BO,Listed,INE517G01012,L23200GJ1994PLC022009,Industrial  Gases & Fuels
4588,100672,Novartis India Ltd.,500672,NOVARTIND,HCBA IN,NOIN.BO,Listed,INE234A01025,L24200MH1947PLC006104,Trading
4589,268955,Novex Commercial Enterprises Ltd.,,,,,Listed,,L51909DL1983PLC016723,Trading
4590,100310,Novopan Industries Ltd.,500310,NOVOPANIND,NOVO IN,NOVO.BO,Listed,INE460B01016,L55101TG1984PLC004941,Wood & Wood Products
4591,293919,Novus Green Energy Systems Ltd.,,,,,Listed,,U40300TG2009PLC064410,Engineering - Construction
4592,130127,NPR Finance Ltd.,530127,,NPRF IN,NPRF.BO,Listed,INE446D01011,L65921WB1989PLC047091,Finance - NBFC
4593,116082,NR Agarwal Industries Ltd.,516082,NRAIL,NRA IN,NRAI.BO,Listed,INE740D01017,L22210MH1993PLC133365,Paper & Paper Products
4594,132623,NR International Ltd.,532623,,NRINT IN,NRIN.BO,Listed,INE605F01017,L74999WB1991PLC051738,Steel & Iron Products
4595,130367,NRB Bearings Ltd.,530367,NRBBEARING,NRBBR IN,NBEA.BO,Listed,INE349A01021,L29130MH1965PLC013251,Bearings
